STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
JHARKHAND,DEOGHAR,18503,0.04380953282932916
JHARKHAND,DHANBAD,43124,0.10210464755617958
JHARKHAND,DHANBAD RLY.,3868,0.009158259362473394
JHARKHAND,DUMKA,16483,0.03902678104230841
JHARKHAND,GARHWA,14566,0.03448790224244763
JHARKHAND,GIRIDIH,29221,0.06918652968739271
JHARKHAND,GODDA,19021,0.0450360008618424
JHARKHAND,GUMLA,10362,0.02453409604807376
JHARKHAND,HAZARIBAGH,31956,0.07566218619110644
JHARKHAND,JAMSHEDPUR,37675,0.08920305622574588
JHARKHAND,JAMSHEDPUR RLY.,2923,0.006920783897753291
JHARKHAND,JAMTARA,7138,0.016900634780076286
JHARKHAND,KHUNTI,2128,0.005038463268703046
JHARKHAND,KODERMA,10322,0.02443938809189513
JHARKHAND,LATEHAR,6075,0.01438377084462923
JHARKHAND,LOHARDAGGA,6046,0.014315107576399724
JHARKHAND,PAKUR,8257,0.019550089854173426
JHARKHAND,PALAMU,21289,0.050405941977170646
JHARKHAND,RAMGARH,6336,0.015001740258694782
JHARKHAND,RANCHI,50140,0.11871642306991105
JHARKHAND,SAHEBGANJ,10561,0.025005268130062437
JHARKHAND,SARAIKELA,10538,0.024950811055259724
JHARKHAND,SIMDEGA,4426,0.010479435351165262
JHARKHAND,TOTAL,422351,1.0
KARNATAKA,BAGALKOT,24722,0.016692065091086606
KARNATAKA,BANGALORE COMMR.,350347,0.23655104475636757
KARNATAKA,BANGALORE RURAL,77461,0.052300948710486996
KARNATAKA,BELGAUM,73697,0.04975953082346936
KARNATAKA,BELLARY,41853,0.028258757392494446
KARNATAKA,BIDAR,45398,0.0306523085108466
KARNATAKA,BIJAPUR,37987,0.025648470051577818
KARNATAKA,CBPURA,11337,0.007654637243655401
KARNATAKA,CHAMARAJNAGAR,18501,0.012491703593972708
KARNATAKA,CHICKMAGALUR,34702,0.023430468521595638
KARNATAKA,CHITRADURGA,44979,0.03036940359728114
KARNATAKA,DAKSHIN KANNADA,42281,0.028547739022580402
KARNATAKA,DAVANAGERE,36167,0.024419622932987994
KARNATAKA,DHARWAD COMMR.,23763,0.0160445571862912
KARNATAKA,DHARWAD RURAL,13068,0.008823392387764735
KARNATAKA,GADAG,12421,0.008386543989013296
KARNATAKA,GULBARGA,57080,0.03853988655445447
KARNATAKA,HASSAN,57541,0.03885114947844893
KARNATAKA,HAVERI,25128,0.016966192525233566
KARNATAKA,K.G.F.,10857,0.007330545695895448
KARNATAKA,KODAGU,19045,0.012859007348100655
KARNATAKA,KOLAR,33454,0.022587830497419758
KARNATAKA,KOPPAL,19152,0.012931252755622144
KARNATAKA,MANDYA,57125,0.03857027013705697
KARNATAKA,MANGALORE CITY,5300,0.0035785108398494864
